movie_name,director,year,jump_count,jump_score,netflix,imdb_score
The Blair Witch Project,"Daniel Myrick, Eduardo Sánchez",1999.0,0.0,0.0,No,6.4
The Borderlands (Final Prayer),Elliot Goldner,2013.0,12.0,3.0,No,5.7
The Boy,Craig Macneill,2015.0,1.0,0.5,No,5.4
The Boy,William Brent Bell,2016.0,11.0,3.0,Yes,6.0
The Burning,Tony Maylam,1981.0,21.0,4.0,No,6.5
The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2004.0,4.0,1.0,No,7.7
The Bye Bye Man,Stacy Title,2017.0,13.0,3.0,No,4.3
The Cabin In The Woods,Drew Goddard,2012.0,13.0,3.0,No,7.0
The Call,Brad Anderson,2013.0,8.0,2.5,No,6.7
The Canal,Ivan Kavanagh,2014.0,4.0,2.0,No,5.9
The Changeling,Peter Medak,1980.0,7.0,2.0,No,7.3
The Cloverfield Paradox,Julius Onah,2018.0,8.0,3.0,Yes,6.2
The Collector,Marcus Dunstan,2009.0,2.0,1.0,No,6.4
The Conjuring,James Wan,2013.0,12.0,4.0,Yes,7.5
The Conjuring 2,James Wan,2016.0,22.0,5.0,No,7.4
The Conspiracy,Christopher MacBride,2012.0,1.0,0.5,No,6.4
The Conversation,Francis Ford Coppola,1974.0,1.0,0.5,No,7.9
The Craft,Andrew Fleming,1996.0,4.0,1.0,No,6.3
The Crazies,Breck Eisner,2010.0,18.0,4.0,No,6.6
The Crucifixion,Xavier Gens,2017.0,19.0,4.5,No,5.0
The Cured,David Freyne,2017.0,16.0,3.0,No,5.6
The Den,Zachary Donohue,2013.0,14.0,4.0,No,6.1
The Descent,Neil Marshall,2005.0,16.0,4.0,No,7.2
The Devil Inside,William Brent Bell,2012.0,8.0,2.5,No,4.1
The Devil's Backbone,Guillermo del Toro,2001.0,4.0,1.5,No,7.5
The Devil's Candy,Sean Byrne,2015.0,8.0,2.0,Yes,6.7
The Devil's Rejects,Rob Zombie,2005.0,0.0,0.0,No,6.9
The Disappointments Room,D.J. Caruso,2016.0,9.0,2.5,Yes,3.9
The Endless,"Justin Benson, Aaron Moorhead",2017.0,7.0,2.5,No,6.6
The Evil Dead,Sam Raimi,1981.0,22.0,4.0,No,7.6
The Exorcism of Emily Rose,Scott Derrickson,2005.0,8.0,2.5,No,6.7
The Exorcist,William Friedkin,1973.0,10.0,1.5,No,8.0
The Exorcist III,William Peter Blatty,1990.0,11.0,2.5,No,6.3
The Eye,"Danny Pang, Oxide Chun Pang",2002.0,5.0,2.0,No,6.7
The Eyes of My Mother,Nicolas Pesce,2016.0,0.0,0.0,Yes,6.3
The Faculty,Robert Rodriguez,1998.0,11.0,3.0,No,6.4
The Final Destination,David R. Ellis,2009.0,4.0,1.0,No,5.2
The Final Girls,Todd Strauss-Schulson,2015.0,8.0,1.5,No,6.7
